,REACTOME_SIGNALING_BY_ERBB4,REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION,PID_HIF1A_PATHWAY,PID_LYMPH_ANGIOGENESIS_PATHWAY,KEGG_PHENYLALANINE_METABOLISM,REACTOME_INHIBITION_OF_INSULIN_SECRETION_BY_ADRENALINE_NORADRENALINE,REACTOME_DEADENYLATION_OF_MRNA,REACTOME_SIGNALING_BY_CONSTITUTIVELY_ACTIVE_EGFR,PID_NFAT_3PATHWAY,PID_NFAT_TFPATHWAY
255,,26301303,15331549,34019671,21766676,35104275,,34183993,,
256,,26216139,15277220,34019504,21548456,35104142,,34183431,,
257,,26215420,14747287,34016597,21454562,35104016,,34183248,,
258,,26191082,12189448,34011723,21423183,35103499,,34183018,,
259,,26146025,11923216,34003937,21376417,35103458,,34181081,,
260,,26126591,11901189,34001958,21341181,35103454,,34178839,,
261,,26040298,11435456,34000773,21204958,35103245,,34177370,,
262,,25853493,11435455,33999433,21194775,35101867,,34177221,,
263,,25834642,11349728,33991614,21185798,35101568,,34173920,,
264,,25804755,,33991016,21113108,35101478,,34172489,,
265,,25800199,,33988033,20943816,35101476,,34170951,,
266,,25795942,,33983531,20876728,35101455,,34169498,,
267,,25728260,,33981238,20865534,35101325,,34166150,,
268,,25591455,,33979630,20809476,35101023,,34165684,,
269,,25565258,,33978618,20809197,35101010,,34165438,,
270,,25550057,,33978082,20628041,35100891,,34154885,,
271,,25541178,,33971352,20622162,35100586,,34150442,,
272,,25423611,,33968285,20499825,35100325,,34150435,,
273,,25406277,,33966556,20463420,35099465,,34136784,,
274,,25398202,,33964362,20334663,35099428,,34134654,,
275,,25397354,,33962019,20228403,35098884,,34129237,,
276,,25391818,,33961506,20228402,35098553,,34126947,,
277,,25384914,,33959096,20228400,35098383,,34126643,,
278,,25354939,,33956397,20184589,35098034,,34110524,,
279,,25284929,,33946803,20134036,35097119,,34110038,,
280,,25270067,,33942506,20112433,35097004,,34109496,,
281,,25218728,,33942162,20107402,35096939,,34102327,,
282,,25172468,,33940652,20032292,35096552,,34102025,,
283,,25154654,,33940544,19850685,35096331,,34089392,,
284,,25145320,,33939118,19755410,35096302,,34085949,,
285,,25133692,,33937416,19748326,35096054,,34085731,,
286,,25050371,,33922399,19728131,35095773,,34085292,,
287,,24928681,,33917759,19688022,35095757,,34084770,,
288,,24928567,,33914191,19654285,35094873,,34083571,,
289,,24927554,,33907139,19615687,35094738,,34083127,,
290,,24881731,,33902285,19589264,35094604,,34082427,,
291,,24867503,,33902238,19576120,35094087,,34079317,,
292,,24810053,,33899465,19564559,35092749,,34074934,,
293,,24628249,,33887222,19474134,35092603,,34070103,,
294,,24595304,,33875793,19472523,35092562,,34064638,,
295,,24594616,,33875791,19419235,35092260,,34061302,,
296,,24484682,,33856549,19388972,35092221,,34059937,,
297,,24429158,,33854480,19387990,35091876,,34059526,,
298,,24287236,,33852907,19249171,35091821,,34058808,,
299,,24246677,,33840497,19183841,35091448,,34057836,,
300,,24189421,,33839725,19135939,35090949,,34049674,,
301,,24152769,,33838166,19125899,35090905,,34047959,,
302,,24143907,,33832114,19082141,35090876,,34047459,,
