,PID_HNF3B_PATHWAY,ST_STAT3_PATHWAY,REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT,REACTOME_AMYLOIDS,REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL,REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE,REACTOME_ION_CHANNEL_TRANSPORT,REACTOME_GPCR_LIGAND_BINDING,REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION,REACTOME_PLATELET_CALCIUM_HOMEOSTASIS
171,,29533954,35145353,33749655,34720580,34314821,33928327,21447485,30653152,34955840
172,,29516520,35144941,33747345,34719148,34313292,33918273,21392828,30647535,34955004
173,,29477240,35144715,33740285,34716790,34308944,33902539,21086182,30612498,34954022
174,,29454299,35144640,33728019,34708228,34302624,33900535,21083519,30597753,34952629
175,,29417186,35144341,33713326,34707105,34299486,33898262,20811370,30584157,34952622
176,,29398326,35144052,33687147,34697034,34297586,33896782,20616094,30582909,34949756
177,,29311992,35143719,33686743,34693846,34295723,33892285,20388847,30557902,34949182
178,,29291386,35142031,33651875,34692563,34295325,33884463,20336586,30553443,34948234
179,,29288268,35141761,33646214,34691455,34294713,33875683,19858481,30521533,34946298
180,,29228585,35140703,33616398,34689847,34291923,33868178,19365392,30461450,34944566
181,,29223407,35140489,33600175,34689373,34285470,33867398,18606183,30348206,34944423
182,,29174036,35140486,33583389,34687725,34279974,33851048,17900700,30345315,34944092
183,,29115033,35140467,33579846,34684645,34278446,33840847,17437246,30343467,34943778
184,,29109360,35140448,33579843,34684479,34273538,33835493,17306374,30343141,34943086
185,,29104117,35140188,33561274,34684378,34273079,33832846,15671479,30327780,34941925
186,,28986550,35139812,33552057,34683960,34273070,33832651,15470600,30317449,34940595
187,,28967097,35138685,33544569,34683334,34265475,33830396,15235770,30310153,34940563
188,,28914637,35138577,33544470,34682915,34264768,33810868,14529486,30276837,34939534
189,,28911610,35138572,33544469,34681787,34264302,33809898,12570796,30253050,34939442
190,,28881473,35135590,33543942,34680110,34260650,33808821,,30206821,34938272
191,,28849106,35135342,33539017,34680047,34258291,33802824,,30196103,34938095
192,,28842216,35135077,33534663,34675887,34256435,33802170,,30146932,34934444
193,,28819999,35135041,33516852,34672271,34248040,33800673,,30146931,34934126
194,,28775125,35135039,33515645,34671578,34247809,33799326,,30140426,34933204
195,,28689771,35134601,33504293,34666751,34246712,33799024,,30138667,34930972
196,,28672855,35133388,33494388,34666141,34241775,33792106,,30132033,34925813
197,,28662967,35133280,33467075,34665600,34224725,33773689,,30126223,34924035
198,,28645526,35132303,33464098,34659937,34224339,33773466,,30084288,34922198
199,,28608285,35131436,33450674,34656705,34221088,33769491,,30069908,34921194
200,,28592636,35130901,33427465,34655465,34214506,33766618,,30030157,34920734
201,,28587386,35130338,33423653,34654787,34201520,33756478,,30023835,34920001
202,,28577871,35130127,33420039,34652989,34199319,33744841,,30003560,34918690
203,,28554737,35129868,33410588,34649831,34186361,33743404,,29956218,34917917
204,,28554304,35129418,33401187,34649055,34178871,33742102,,29889464,34917033
205,,28533422,35129235,33397266,34647607,34176722,33740389,,29880093,34916585
206,,28474063,35129198,33391936,34647431,34175429,33739565,,29879988,34916558
207,,28402852,35129018,33390788,34645615,34169461,33739409,,29873957,34914039
208,,28395025,35128748,33389592,34645391,34168729,33737142,,29853770,34913819
